place,author,rating,review
Toby'S Estate Coffee Roasters Singapore,Sophie,1,"Service très mauvais, nous avons attendu plusieurs minutes sans être servi, nous sommes partis."
Toby'S Estate Coffee Roasters Singapore,James Lui,4,"Bon café, bon petit déjeuner."
Toby'S Estate Coffee Roasters Singapore,Richard Clausen,5,"Le gazon n Surf était fantastique. Le porc avait besoin d'un peu de sel et était un peu filandreux. Si je devais choisir à nouveau, j'opterais pour l'œuf de saumon Bénédicte au saumon fumé uniquement. J'ai ajouté l'avocat et le bacon à …"
The Populus,alexis 3375,4,"Restaurant de qualité. Nous avons pris des pâtes et des desserts.
Le prix est correct pour le quartier."
The Populus,Keng Cheong Tan,5,"Lieu de brunch très populaire qui propose un large choix de plats de style occidental, tant salés que sucrés. La carte des boissons propose également une grande variété de cafés, de thés et de boissons gazeuses. Un endroit agréable pour …"
The Populus,Ming Hui,5,"J'ai enfin essayé ce café bien connu depuis longtemps. Il y avait de longues files d'attente aux heures de repas. Cette fois, je l'ai essayé vers 14 heures et c'était spacieux. Dans l’ensemble, je pense que la qualité de la nourriture est …"
Jimmy Monkey Cafe & Bar,Anissa Sariatu,5,"Bien qu'il soit assez caché, cet endroit accueillait constamment un flot de clients lorsque nous y allions pour le brunch du dimanche. …"
Jimmy Monkey Cafe & Bar,Danny Fong,5,"putain, un sacré burger Wagyu (JM Wagyu 🍔). des petits pains moelleux, un hamburger juteux avec du fromage fondu, étaient vraiment délicieux. j'ai essayé la nourriture de tout le monde; l'autre que j'ai trouvé vraiment sympa était le poulet …"
Jimmy Monkey Cafe & Bar,Chris Koh,4,J'adore le look rustique du café. Je crois que le café est situé dans une ancienne caserne militaire. Nous avons eu le sandwich au steak et Mme Norwegian Benedict. Foodwise était ok. Rien d’époustouflant. Le blanc plat était assez fort et …
Twenty Eight Cafe,Charlotte L.,5,"Une super adresse, déco sympa, accueil agréable,  prix très correct et vraiment bon !
Les linguine au crabe sont très épicées 😊😋
Idéal pour un brunch ou déjeuner. …"
Twenty Eight Cafe,Marie-Eve Paiement-Poirier,3,Bon café! Les crêpes pas assez cuites donc trop cher pour ce que c'est...
Twenty Eight Cafe,Andrew,5,"J'ai visité ici plus tôt dans la semaine et c'était une bonne trouvaille. Je suis arrivé avant 10 heures du matin en semaine et c'était charmant, pas d'attente. Le café glacé était fantastique et il y avait les œufs shakshuka. . . très …"
Glasshouse,André Martel,5,"Très bon déjeuner!
J’ai pris un bol granola avec leur yogourt maison et miel sauvage, un pain au citron et un flat White froid.
Je recommande!!"
Glasshouse,Morgane Delmas Guillotin,5,"Très bon expresso au cœur de Chijmes. C'est en effet une petite maison de verre dans laquelle on se restaure, avec la vue sur une partie du jardin de l'ancien couvent."
Glasshouse,DD S,5,"C'est un restaurant qui sert le petit-déjeuner, le brunch et des repas toute la journée, ce qui est très spécial et parfait. …"
The Local Cafe,Nicole Lee,5,"Je dîne ici depuis quelques mois maintenant et j'ai toujours été accueilli avec chaleur et gentillesse par tout le personnel. Mais je voudrais féliciter l'un des membres du personnel, Isabel, pour avoir toujours offert son meilleur service, …"
