label,latitude,longitude,description,category,link
Toby's Estate Coffee Roasters Singapore,1.2899494,103.8348193,Riverside specialty coffee,Cafe,"https://www.google.com/maps/place/Toby's+Estate+Coffee+Roasters+Singapore/@1.2899494,103.8348193,17z/data=!3m2!4b1!5s0x31da199d9509c63d:0xe0c66906d3fb7ae9!4m6!3m5!1s0x31da199d92d6ef4d:0xdfcb4b80dde64edb!8m2!3d1.2899494!4d103.8373996!16s%2Fg%2F1tmqcr32?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
The Populus,1.2782503,103.838059,Trendy café & brunch spot,Cafe,"https://www.google.com/maps/place/The+Populus/@1.2782503,103.838059,17z/data=!3m2!4b1!5s0x31da196db8df8505:0xbe47defa4f493855!4m6!3m5!1s0x31da196db97648e3:0x3b53f4f43ac0f403!8m2!3d1.2782503!4d103.8406393!16s%2Fg%2F11c3svtwdc?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Jimmy Monkey Cafe & Bar,1.3018774,103.7876701,Cozy industrial-style café,Cafe,"https://www.google.com/maps/place/Jimmy+Monkey+Cafe+%26+Bar/@1.3018774,103.7876701,17z/data=!3m2!4b1!5s0x31da1a44174e2aeb:0x242e4a73e6ee6177!4m6!3m5!1s0x31da1a4459d1acb5:0x62d198a10ef690fe!8m2!3d1.3018774!4d103.7902504!16s%2Fg%2F1tftbvlm?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Twenty Eight Cafe,1.3021496,103.8462228,Minimalist brunch café,Cafe,"https://www.google.com/maps/place/Twenty+Eight+Cafe/@1.3021496,103.8462228,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19bc39151411:0x8882b89528423761!8m2!3d1.3021496!4d103.8488031!16s%2Fg%2F11ggz661jl?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Glasshouse,1.2955796,103.7863971,Glasshouse-style coffee spot,Cafe,"https://www.google.com/maps/place/Glasshouse/@1.2955796,103.7863971,13z/data=!4m10!1m2!2m1!1sGlasshouse!3m6!1s0x31da19a4418be899:0x9c4b2fe5f78e38f4!8m2!3d1.2955796!4d103.8523151!15sCgpHbGFzc2hvdXNlWgwiCmdsYXNzaG91c2WSAQRjYWZl4AEA!16s%2Fg%2F11f0kspc66?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
The Local Cafe,1.3457541,103.874488,Local cafe with great coffee,Cafe,"https://www.google.com/maps/place/The+Local+Cafe/@1.3457541,103.874488,16z/data=!4m10!1m2!2m1!1sThe+Local+Cafe!3m6!1s0x31da171f1479fbe9:0xa2e4791ab9eb0673!8m2!3d1.3457541!4d103.8827277!15sCg5UaGUgTG9jYWwgQ2FmZVoQIg50aGUgbG9jYWwgY2FmZZIBBGNhZmXgAQA!16s%2Fg%2F11t_g_6_wm?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Sarnies,1.2816389,103.8453891,Rustic cafe with sandwiches,Cafe,"https://www.google.com/maps/place/Sarnies/@1.2829587,103.8446925,17z/data=!3m1!5s0x31da190da919fc4f:0x2ae707f0d876760c!4m10!1m2!2m1!1sSarnies!3m6!1s0x31da190daf2da00b:0x3dc3a97f2247c127!8m2!3d1.2816389!4d103.8479694!15sCgdTYXJuaWVzWgkiB3Nhcm5pZXOSAQRjYWZl4AEA!16s%2Fg%2F1yfprs0nf?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Craftsmen Coffee (Holland V),1.31178,103.762293,Holland Village coffee hub,Cafe,"https://www.google.com/maps/place/Craftsmen+Coffee+(Holland+V)/@1.31178,103.7926717,17z/data=!3m2!4b1!5s0x31da1a6ba7e778e5:0x83f0f05bb480a1e7!4m6!3m5!1s0x31da1b5bfd7dc201:0xe75082d4c95899a0!8m2!3d1.31178!4d103.795252!16s%2Fg%2F11g0gb5ygz?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Alchemist The Heeren,1.3117786,103.7002762,Hip specialty coffee roaster,Cafe,"https://www.google.com/maps/place/Alchemist+The+Heeren/@1.3022428,103.8349481,17z/data=!3m2!4b1!5s0x31da1990375bad97:0x6b755ef64ef24c2a!4m6!3m5!1s0x31da198a0b440a03:0x47d8c0ee325907f5!8m2!3d1.3022428!4d103.8375284!16s%2Fg%2F11j535rkpj?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Dutch Colony Coffee Co.,1.3142592,103.7876703,Dutch-style café & roastery,Cafe,"https://www.google.com/maps/place/Dutch+Colony+Coffee+Co./@1.3142592,103.8535882,13z/data=!3m1!5s0x31da3d11f5d025fb:0xba564ad7696d844d!4m10!1m2!2m1!1sDutch+Colony+Coffee+Co.!3m6!1s0x31da3d528b831b0f:0xf979dffefba91622!8m2!3d1.3521068!4d103.9411532!15sChdEdXRjaCBDb2xvbnkgQ29mZmVlIENvLiIDiAEBWhgiFmR1dGNoIGNvbG9ueSBjb2ZmZWUgY2-SAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11ny22_zq0?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Atlas Café,1.3001138,103.8551951,High-end gin & cocktail bar,Bar,"https://www.google.com/maps/place/Atlas+Caf%C3%A9/@1.3001138,103.5941035,11z/data=!3m1!5s0x31da19cf77deabb3:0x7e5fdc85fd44c9c5!4m10!1m2!2m1!1sAtlas+Caf%C3%A9!3m6!1s0x31da19b066f8cac9:0x1a822ab9ded25293!8m2!3d1.3001138!4d103.8577754!15sCgtBdGxhcyBDYWbDqVoNIgthdGxhcyBjYWbDqZIBDGNvY2t0YWlsX2JhcuABAA!16s%2Fg%2F11g6mh85c_?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
The Secret Mermaid,1.2829467,103.8491274,Speakeasy-style cocktail bar,Bar,"https://www.google.com/maps/place/The+Secret+Mermaid/@1.2829467,103.8491274,17z/data=!3m2!4b1!5s0x31da190e951c56d9:0xcd819c6405205f08!4m6!3m5!1s0x31da190e951aa29f:0x74578be7bdf9f7d2!8m2!3d1.2829467!4d103.8517077!16s%2Fg%2F11b6nld62d?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
D.Bespoke,1.2787135,103.8384739,Luxury whisky & cocktail lounge,Bar,"https://www.google.com/maps/place/D.Bespoke/@1.2787135,103.8384739,17z/data=!3m2!4b1!5s0x31da196d916a2dbb:0x52985a1b6bfb9aa9!4m6!3m5!1s0x31da196d97ab6b7d:0x192ea5339324a4c7!8m2!3d1.2787135!4d103.8410542!16s%2Fg%2F11b6ns6k_5?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
MO BAR,1.29063,103.8558597,Elegant bar with skyline views,Bar,"https://www.google.com/maps/place/MO+BAR/@1.29063,103.8558597,17z/data=!3m2!4b1!5s0x31da19a8f37be3f1:0xc77b3af91350f347!4m6!3m5!1s0x31da192fdce3774b:0xeceb7ebcb22b3b74!8m2!3d1.29063!4d103.85844!16s%2Fg%2F11gmzr9tph?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Employees Only Singapore,1.2820556,103.8450968,New York-inspired cocktail bar,Bar,"https://www.google.com/maps/place/Employees+Only+Singapore/@1.2820556,103.8450968,17z/data=!3m1!4b1!4m6!3m5!1s0x31da190d000c726b:0xbf4dc480c93125a6!8m2!3d1.2820556!4d103.8476771!16s%2Fg%2F11cn9p2z1r?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Whiskey Library & Jazz Club,1.3069404,103.8558363,Jazz & whisky experience,Bar,"https://www.google.com/maps/place/Whiskey+Library+%26+Jazz+Club/@1.3069404,103.8558363,17z/data=!3m2!4b1!5s0x31da19b7c4f44af9:0x98dac0f3ce1d4699!4m6!3m5!1s0x31da1955e08469b3:0xc53354ae4c277508!8m2!3d1.3069404!4d103.8584166!16s%2Fg%2F11h27wqt2j?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Smoke & Mirrors,1.2904173,103.8492304,Skyline bar with panoramic views,Bar,"https://www.google.com/maps/place/Smoke+%26+Mirrors/@1.2904173,103.8492304,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19a73e9e2bbf:0xfb097f2a0268aad!8m2!3d1.2904173!4d103.8518107!16s%2Fg%2F11bw_65mg8?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Nutmeg & Clove,1.2967133,103.8526392,Classic cocktails with spices,Bar,"https://www.google.com/maps/place/Nutmeg+%26+Clove/@1.2967133,103.8526392,17z/data=!3m1!4b1!4m6!3m5!1s0x31da190d388c7df7:0x56e940a72c074697!8m2!3d1.2967133!4d103.8552195!16s%2Fg%2F11bbx107d5?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
The Other Room,1.3053584,103.8302505,Hidden lounge with unique drinks,Bar,"https://www.google.com/maps/place/The+Other+Room/@1.3053584,103.8302505,17z/data=!3m2!4b1!5s0x31da198d87d8f16f:0xfeeaa464762d4970!4m6!3m5!1s0x31da198d84a8766d:0x5a466a0965b64840!8m2!3d1.3053584!4d103.8328308!16s%2Fg%2F11c562btr8?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
The Elephant Room Singapore,1.279188,103.8414277,Indian-inspired cocktail bar,Bar,"https://www.google.com/maps/place/The+Elephant+Room+Singapore/@1.279188,103.8414277,17z/data=!3m2!4b1!5s0x31da1913031d08b3:0x680cbd33efd37d58!4m6!3m5!1s0x31da195ff1323fbd:0x9c41c9387c879f32!8m2!3d1.279188!4d103.844008!16s%2Fg%2F11fnqk14p6?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
St. Joseph's Church (Bukit Timah),1.3681915,103.7343445,Historic Catholic church,Place of Worship,"https://www.google.com/maps/place/St.+Joseph's+Church+(Bukit+Timah)/@1.3681915,103.7647232,17z/data=!3m2!4b1!5s0x31da11ac4e1ee2bb:0xb9a4fdc0ea44918d!4m6!3m5!1s0x31da11ac48f249fd:0x49a2327ffda03a1a!8m2!3d1.3681915!4d103.7673035!16s%2Fg%2F119v0hld6?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Church of Saints Peter & Paul,1.2977353,103.8489362,Gothic-style Catholic church,Place of Worship,"https://www.google.com/maps/place/Church+of+Saints+Peter+%26+Paul/@1.2977847,103.8488122,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19a4afd69c1f:0x5081267f983b3e79!8m2!3d1.2977847!4d103.8513925!16zL20vMGIxMzc2?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Church of Our Lady of Lourdes,1.3032135,103.8530177,Iconic Catholic pilgrimage site,Place of Worship,"https://www.google.com/maps/place/Church+of+Our+Lady+of+Lourdes/@1.3032135,103.8530177,17z/data=!4m10!1m2!2m1!1sChurch+of+Our+Lady+of+Lourdes!3m6!1s0x31da19b9ff36987f:0xc0704d38c9ae630b!8m2!3d1.303175!4d103.855785!15sCh1DaHVyY2ggb2YgT3VyIExhZHkgb2YgTG91cmRlc5IBD2NhdGhvbGljX2NodXJjaOABAA!16zL20vMGIwaGhw?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
